Filename,Weight Initialization,Activation,Class weights,Kernel Size,Max Norm,Dropout -filters,Dropout - dense,L2 - filters,L2- dense,Batch Size,Optimizer,Learning Rate,Lr decay,BN momentum,Number of filters,Number of Dense Neurons,Best Val Acc Per Cardiac Cycle,Epoch,Training Acc per cardiac cycle,Sensitivity,Specificity,Macc,No of Abnormal Strongly Mislabeled,No of Normal Strongly Mislabeled,Comments
fold2_noFIR 2018-01-15 12:17:18.268151,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,1.48e-07,0.99,"(8, 4)",20,86.9531471615,14.0,91.429374366,88.3876357561,90.142021721,89.2648287385,,,
fold2_noFIR 2018-01-15 12:17:58.025654,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0001132885,0.99,"(8, 4)",20,87.4845142391,35.0,92.6759345096,92.3141186299,90.3091060986,91.3116123642,,,
fold2_noFIR 2018-01-15 13:01:54.521700,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.000135044,0.99,"(8, 4)",20,87.6658656459,39.0,92.5007025704,92.2514619883,87.5730994152,89.9122807018,,,
fold2_noFIR 2018-01-15 13:02:07.151623,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,1.2642408513e-09,0.99,"(8, 4)",20,87.127781847,34.0,92.5985605526,91.5622389307,91.8128654971,91.6875522139,,,
fold2_noFIR 2018-01-16 10:58:54.237256,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0003608389,0.99,"(8, 4)",20,86.5098437308,13.0,91.5173324965,88.8053467001,90.977443609,89.8913951545,,,
fold2_noFIR 2018-01-16 10:59:06.022001,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,3.64370733503e-06,0.99,"(8, 4)",20,87.453169551,35.0,92.3733731398,91.4786967419,90.4761904762,90.977443609,,,
fold2_noFIR 2018-01-16 11:27:51.855281,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,1e-09,0.99,"(8, 4)",20,86.5814887285,15.0,91.7465345959,88.3040935673,91.5622389307,89.933166249,,,
fold2_noFIR 2018-01-16 11:28:02.835037,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,2.16067494911e-09,0.99,"(8, 4)",20,86.7620938307,14.0,91.7217165342,88.8053467001,91.8128654971,90.3091060986,,,
fold2_noFIR 2018-01-16 11:58:11.067252,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,3.97171548784e-08,0.99,"(8, 4)",20,87.3501798659,13.0,91.776097287,92.1470342523,90.4761904762,91.3116123642,,,
fold2_noFIR 2018-01-16 11:58:20.453341,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,2.52837028416e-06,0.99,"(8, 4)",20,86.7844828939,15.0,91.5479901022,88.8888888889,88.5547201337,88.7218045113,,,
fold2_noFIR 2018-01-16 13:40:22.284989,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0001132885,0.99,"(8, 4)",20,87.3173425734,70.0,93.2044132355,91.7293233083,90.977443609,91.3533834586,,,
fold2_noFIR 2018-01-16 13:41:15.542763,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,3.64370733503e-06,0.99,"(8, 4)",20,85.8680239472,163.0,93.6629999198,87.2180451128,94.0685045948,90.6432748538,,,
*fold0_noFIR 2018-01-16 16:07:25.179733,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,3.97171548784e-08,0.99,"(8, 4)",20,74.4070375497,85.0,93.447243919,89.1201513718,58.4148727984,73.7675120851,,,
*fold2_noFIR 2018-01-16 16:06:55.324213,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,3.97171548784e-08,0.99,"(8, 4)",20,86.5814887299,70.0,93.4372650498,88.2205513784,92.3976608187,90.3091060986,,,
fold0_noFIR 2018-01-16 17:25:30.579232,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0001132885,0.99,"(8, 4)",20,73.8023718759,92.0,93.1352079151,91.5799432356,57.1428571428,74.3614001892,,,
fold1_noFIR 2018-01-16 19:58:54.149714,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0001132885,0.99,"(8, 4)",20,86.722449822,30.0,92.2747904868,87.2180451128,91.8964076859,89.5572263993,,,
fold3_noFIR 2018-01-16 19:59:03.934614,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0001132885,0.99,"(8, 4)",20,85.3202548772,126.0,94.175743495,84.8788638262,91.9799498747,88.4294068505,,,
fold1_noFIR 2018-01-17 14:33:22.106750,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0001132885,0.99,"(8, 4)",20,86.5829919691,17.0,91.4065260818,87.7192982456,92.3976608187,90.0584795322,,,
fold2_noFIR 2018-01-17 15:03:45.618162,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0001132885,0.99,"(8, 4)",20,87.7337791291,65.0,93.539274583,90.3091060986,93.4837092732,91.8964076859,,,
fold1 2018-01-17 17:08:20.854227,he_normal,relu-sigmoid,False,5,10000.0,0.25,0.5,0.0,0.01,64,Adam,0.0007,1e-08,0.99,"(8, 4)",20,77.1390801673,195.0,88.424728141,64.0768588137,94.1520467836,79.1144527987,,,
fold0 2018-01-18 14:31:39.174997,he_normal,relu-sigmoid,False,5,10000.0,0.25,0.5,0.0,0.01,64,Adam,0.0007,1e-08,0.99,"(8, 4)",20,71.9903253687,135.0,88.4177699094,63.7653736991,81.1154598826,72.4404167909,,,
fold3 2018-01-19 01:17:49.485829,he_normal,relu-sigmoid,False,5,10000.0,0.25,0.5,0.0,0.01,64,Adam,0.0007,1e-08,0.99,"(8, 4)",20,77.3530069358,192.0,88.6617459574,67.3350041771,92.3976608187,79.8663324979,,,
fold2 2018-01-20 09:14:01.023245,he_normal,relu-sigmoid,False,5,10000.0,0.25,0.5,0.0,0.01,64,Adam,0.0007,1e-08,0.99,"(8, 4)",20,75.6496559566,164.0,87.9847733894,61.0693400167,96.574770259,78.8220551378,,,
fold2_noFIR 2018-01-21 11:57:12.236015,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0001132885,0.99,"(8, 4)",20,82.6410137818,13.0,90.4997919664,75.8563074353,96.4912280702,86.1737677527,,,
*fold2_noFIR 2018-01-21 13:28:29.289191,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0001132885,0.99,"(8, 4)",20,84.0067465741,35.0,91.7777396587,81.11946533,96.157059315,88.6382623225,,,
*fold1_noFIR 2018-01-21 17:31:02.069902,he_normal,relu-sigmoid,False,5,10000.0,0.5,0.0,0.0,0.0,64,Adam,0.0012843784,0.0001132885,0.99,"(8, 4)",20,84.3349603411,186.0,90.701221466,81.8713450292,94.1520467836,88.0116959064,,,
